ID,FIPS,Year,NumCivLaborForce,Numemployed
16713,9005,2020,102109.0,95102.0
16714,9007,2020,92221.0,86211.0
16715,9009,2020,457171.0,420669.0
16716,9011,2020,131992.0,119313.0
16717,9013,2020,84598.0,79362.0
16718,9015,2020,62218.0,57369.0
16719,10000,2020,484358.0,446458.0
16720,10001,2020,79715.0,72843.0
16721,10003,2020,298640.0,275601.0
16722,10005,2020,106004.0,98014.0
16723,11000,2020,409734.0,376839.0
16724,11001,2020,409734.0,376839.0
16725,12000,2020,10114329.0,9332838.0
16726,12001,2020,134931.0,127696.0
16727,12003,2020,11759.0,11179.0
16728,12005,2020,82763.0,77746.0
16729,12007,2020,10791.0,10150.0
16730,12009,2020,281591.0,262867.0
16731,12011,2020,1020586.0,930297.0
16732,12013,2020,4754.0,4508.0
16733,12015,2020,71182.0,65968.0
16734,12017,2020,46500.0,42582.0
16735,12019,2020,105658.0,100004.0
16736,12021,2020,177497.0,165287.0
16737,12023,2020,29566.0,27840.0
16738,12027,2020,14356.0,13615.0
16739,12029,2020,5886.0,5565.0
16740,12031,2020,485114.0,452481.0
16741,12033,2020,144779.0,135108.0
16742,12035,2020,46636.0,43083.0
16743,12037,2020,4681.0,4429.0
16744,12039,2020,18421.0,17176.0
16745,12041,2020,7028.0,6683.0
16746,12043,2020,5192.0,4903.0
16747,12045,2020,5022.0,4724.0
16748,12047,2020,4199.0,3880.0
16749,12049,2020,8466.0,7915.0
16750,12051,2020,15589.0,14332.0
16751,12053,2020,71534.0,65765.0
16752,12055,2020,34641.0,31967.0
16753,12057,2020,754552.0,700764.0
16754,12059,2020,6850.0,6472.0
16755,12061,2020,64233.0,59482.0
16756,12063,2020,17231.0,16298.0
16757,12065,2020,5347.0,5049.0
16758,12067,2020,2781.0,2664.0
16759,12069,2020,154028.0,140383.0
16760,12071,2020,345417.0,320161.0
16761,12073,2020,150626.0,141883.0
16762,12075,2020,16569.0,15568.0
16763,12077,2020,2598.0,2473.0
16764,12079,2020,7599.0,7140.0
16765,12081,2020,176496.0,164571.0
16766,12083,2020,138469.0,128709.0
16767,12085,2020,72180.0,67796.0
16768,12086,2020,1291854.0,1188173.0
16769,12087,2020,44755.0,41223.0
16770,12089,2020,41338.0,38991.0
16771,12091,2020,96010.0,90729.0
16772,12093,2020,17138.0,16217.0
16773,12095,2020,737546.0,659050.0
16774,12097,2020,185793.0,160638.0
16775,12099,2020,717379.0,662945.0
16776,12101,2020,238327.0,221185.0
16777,12103,2020,484330.0,450266.0
16778,12105,2020,316626.0,287979.0
16779,12107,2020,26470.0,24378.0
16780,12109,2020,133843.0,126772.0
16781,12111,2020,145363.0,134060.0
16782,12113,2020,82647.0,78348.0
16783,12115,2020,184464.0,171875.0
16784,12117,2020,237769.0,220602.0
16785,12119,2020,32225.0,29691.0
16786,12121,2020,17758.0,16758.0
16787,12123,2020,8169.0,7659.0
16788,12125,2020,4552.0,4336.0
16789,12127,2020,249560.0,230585.0
16790,12129,2020,14885.0,14216.0
16791,12131,2020,31957.0,30070.0
16792,12133,2020,9478.0,8929.0
16793,13000,2020,5072155.0,4741191.0
16794,13001,2020,9105.0,8674.0
16795,13003,2020,4434.0,4262.0
16796,13005,2020,4652.0,4425.0
16797,13007,2020,1145.0,1076.0
16798,13009,2020,17607.0,16388.0
16799,13011,2020,9778.0,9359.0
16800,13013,2020,40112.0,38057.0
16801,13015,2020,49719.0,46612.0
16802,13017,2020,5460.0,5083.0
16803,13019,2020,7405.0,6977.0
16804,13021,2020,67421.0,62371.0
16805,13023,2020,4501.0,4209.0
16806,13025,2020,6995.0,6618.0
16807,13027,2020,6842.0,6488.0
16808,13029,2020,18718.0,17732.0
16809,13031,2020,37020.0,34601.0
16810,13033,2020,9026.0,8379.0
16811,13035,2020,10739.0,10075.0
16812,13037,2020,2237.0,2124.0
16813,13039,2020,21089.0,20092.0
16814,13043,2020,5633.0,5383.0
16815,13045,2020,54475.0,51009.0
16816,13047,2020,32611.0,31194.0
16817,13049,2020,4842.0,4660.0
16818,13051,2020,140631.0,129918.0
16819,13053,2020,1988.0,1864.0
16820,13055,2020,9767.0,8947.0
16821,13057,2020,133045.0,126581.0
16822,13059,2020,58206.0,54453.0
16823,13061,2020,896.0,785.0
16824,13063,2020,139790.0,125357.0
16825,13065,2020,2943.0,2826.0
16826,13067,2020,414357.0,389904.0
16827,13069,2020,18938.0,17835.0
16828,13071,2020,21917.0,20938.0
16829,13073,2020,74411.0,71266.0
16830,13075,2020,8102.0,7718.0
16831,13077,2020,73981.0,69397.0
16832,13079,2020,5488.0,5211.0
16833,13081,2020,9515.0,8767.0
16834,13083,2020,7860.0,7538.0
16835,13085,2020,12319.0,11735.0
16836,13087,2020,11304.0,10763.0
16837,13089,2020,395683.0,364209.0
16838,13091,2020,6957.0,6542.0
16839,13093,2020,4925.0,4547.0
16840,13095,2020,37712.0,34469.0
16841,13097,2020,72297.0,66930.0
16842,13099,2020,4424.0,4168.0
16843,13101,2020,1899.0,1825.0
16844,13103,2020,31400.0,29827.0
16845,13105,2020,7969.0,7418.0
16846,13107,2020,8518.0,7915.0
16847,13109,2020,5002.0,4745.0
16848,13111,2020,11066.0,10542.0
16849,13113,2020,56444.0,53389.0
16850,13115,2020,43234.0,40522.0
16851,13117,2020,120904.0,115371.0
16852,13119,2020,9892.0,9308.0
16853,13121,2020,557232.0,512593.0
16854,13123,2020,11963.0,11401.0
16855,13125,2020,1244.0,1193.0
16856,13127,2020,38215.0,35610.0
16857,13129,2020,28062.0,26531.0
16858,13131,2020,10601.0,10139.0
16859,13133,2020,7080.0,6663.0
16860,13135,2020,481453.0,450909.0
16861,13137,2020,18691.0,17675.0
16862,13139,2020,101949.0,97133.0
16863,13141,2020,2532.0,2309.0
16864,13143,2020,12245.0,11525.0
16865,13145,2020,16527.0,15763.0
16866,13147,2020,11373.0,10757.0
16867,13149,2020,5132.0,4798.0
16868,13151,2020,115352.0,106831.0
16869,13153,2020,70418.0,66769.0
16870,13155,2020,3467.0,3276.0
16871,13157,2020,39648.0,37910.0
16872,13159,2020,6756.0,6422.0
16873,13161,2020,6099.0,5785.0
16874,13163,2020,6658.0,6209.0
16875,13165,2020,3178.0,2978.0
16876,13167,2020,4006.0,3808.0
16877,13169,2020,13346.0,12737.0
16878,13171,2020,7980.0,7476.0
16879,13173,2020,3723.0,3529.0
16880,13175,2020,19367.0,18075.0
16881,13177,2020,14763.0,14081.0
16882,13179,2020,25741.0,24140.0
16883,13181,2020,3497.0,3307.0
16884,13183,2020,8139.0,7782.0
16885,13185,2020,51599.0,48484.0
16886,13187,2020,16463.0,15671.0
16887,13189,2020,8695.0,8016.0
16888,13191,2020,5949.0,5609.0
16889,13193,2020,4614.0,4303.0
16890,13195,2020,12972.0,12302.0
16891,13197,2020,3192.0,3029.0
16892,13199,2020,8816.0,8061.0
16893,13201,2020,2772.0,2660.0
16894,13205,2020,8289.0,7751.0
16895,13207,2020,12700.0,12050.0
16896,13209,2020,3891.0,3681.0
16897,13211,2020,9142.0,8645.0
16898,13213,2020,15350.0,14191.0
16899,13215,2020,77258.0,71209.0
16900,13217,2020,51901.0,48202.0
16901,13219,2020,19208.0,18487.0
16902,13221,2020,6791.0,6464.0
16903,13223,2020,85313.0,80718.0
16904,13225,2020,11814.0,11084.0
16905,13227,2020,14927.0,14210.0
16906,13229,2020,8500.0,8115.0
16907,13231,2020,8705.0,8273.0
16908,13233,2020,18292.0,17200.0
16909,13235,2020,3976.0,3797.0
16910,13237,2020,8210.0,7671.0
16911,13239,2020,800.0,748.0
16912,13241,2020,7215.0,6831.0
16913,13243,2020,2490.0,2343.0
16914,13245,2020,85112.0,78649.0
16915,13247,2020,43989.0,40657.0
16916,13249,2020,2145.0,2052.0
16917,13251,2020,5047.0,4635.0
16918,13253,2020,3093.0,2938.0
16919,13255,2020,28305.0,26156.0
16920,13257,2020,10414.0,9745.0
16921,13259,2020,2509.0,2367.0
16922,13261,2020,12525.0,11601.0
16923,13263,2020,2757.0,2568.0
16924,13265,2020,530.0,492.0
16925,13267,2020,9651.0,9237.0
16926,13269,2020,2746.0,2563.0
16927,13271,2020,3782.0,3408.0
16928,13273,2020,3497.0,3235.0
16929,13275,2020,16930.0,15874.0
16930,13277,2020,20500.0,19463.0
16931,13279,2020,12081.0,11287.0
16932,13281,2020,3841.0,3585.0
16933,13283,2020,2710.0,2547.0
16934,13285,2020,37448.0,34727.0
16935,13287,2020,3264.0,3028.0
16936,13289,2020,2790.0,2583.0
16937,13291,2020,10464.0,10006.0
16938,13293,2020,11328.0,10578.0
16939,13295,2020,30601.0,29106.0
16940,13297,2020,44917.0,42476.0
16941,13299,2020,15284.0,14432.0
16942,13301,2020,2635.0,2456.0
16943,13303,2020,6931.0,6486.0
16944,13305,2020,11540.0,10894.0
16945,13307,2020,1008.0,951.0
16946,13309,2020,1608.0,1492.0
16947,13311,2020,16197.0,15491.0
16948,13313,2020,43275.0,40137.0
16949,13315,2020,2737.0,2581.0
16950,13317,2020,3712.0,3464.0
16951,13319,2020,3790.0,3587.0
16952,13321,2020,8844.0,8369.0
16953,15000,2020,648191.0,572796.0
16954,15001,2020,89119.0,78986.0
16955,15003,2020,440915.0,396136.0
16956,15005,2020,0.0,0.0
16957,15007,2020,35337.0,29618.0
16958,15009,2020,82820.0,68056.0
16959,16000,2020,892151.0,844365.0
16960,16001,2020,257677.0,243784.0
16961,16003,2020,1758.0,1594.0
16962,16005,2020,42560.0,40495.0
16963,16007,2020,3075.0,2946.0
16964,16009,2020,4140.0,3830.0
16965,16011,2020,23776.0,22860.0
16966,16013,2020,12666.0,11679.0
16967,16015,2020,3609.0,3321.0
16968,16017,2020,21119.0,19527.0
16969,16019,2020,58136.0,55789.0
16970,16021,2020,5502.0,5163.0
16971,16023,2020,1393.0,1343.0
16972,16025,2020,684.0,651.0
16973,16027,2020,105981.0,99763.0
16974,16029,2020,4110.0,3962.0
16975,16031,2020,12384.0,11930.0
16976,16033,2020,378.0,363.0
16977,16035,2020,3021.0,2772.0
16978,16037,2020,2218.0,2106.0
16979,16039,2020,11897.0,11321.0
16980,16041,2020,7060.0,6807.0
16981,16043,2020,7894.0,7606.0
16982,16045,2020,8422.0,7924.0
16983,16047,2020,8256.0,7944.0
16984,16049,2020,6709.0,6260.0
16985,16051,2020,14142.0,13659.0
16986,16053,2020,12198.0,11711.0
16987,16055,2020,81286.0,75654.0
16988,16057,2020,19756.0,18818.0
16989,16059,2020,3651.0,3408.0
16990,16061,2020,1662.0,1534.0
16991,16063,2020,2667.0,2511.0
16992,16065,2020,22306.0,21700.0
16993,16067,2020,11642.0,11194.0
16994,16069,2020,20793.0,19780.0
16995,16071,2020,2342.0,2244.0
16996,16073,2020,5493.0,5166.0
16997,16075,2020,11941.0,11309.0
16998,16077,2020,4132.0,3964.0
16999,16079,2020,5444.0,4946.0
17000,16081,2020,6632.0,6256.0
17001,16083,2020,41250.0,39083.0
17002,16085,2020,5643.0,5195.0
17003,16087,2020,4752.0,4496.0
17004,17000,2020,6249147.0,5657532.0
17005,17001,2020,31259.0,29287.0
17006,17003,2020,1918.0,1730.0
17007,17005,2020,7484.0,6972.0
17008,17007,2020,25580.0,22720.0
17009,17009,2020,2996.0,2881.0
17010,17011,2020,16363.0,15124.0
17011,17013,2020,2228.0,2059.0
17012,17015,2020,7376.0,6844.0
17013,17017,2020,5813.0,5426.0
17014,17019,2020,108725.0,101732.0
17015,17021,2020,13598.0,12497.0
17016,17023,2020,7331.0,6752.0
17017,17025,2020,6231.0,5646.0
17018,17027,2020,19796.0,18642.0
17019,17029,2020,23148.0,21432.0
17020,17031,2020,2539907.0,2258453.0
17021,17033,2020,8472.0,7882.0
17022,17035,2020,5944.0,5606.0
17023,17037,2020,53031.0,48678.0
17024,17039,2020,7120.0,6656.0
17025,17041,2020,10036.0,9474.0
17026,17043,2020,484215.0,445824.0
17027,17045,2020,8899.0,8311.0
17028,17047,2020,2681.0,2462.0
17029,17049,2020,19265.0,17988.0
17030,17051,2020,9700.0,8977.0
17031,17053,2020,6236.0,5834.0
17032,17055,2020,15985.0,14299.0
17033,17057,2020,14615.0,13364.0
17034,17059,2020,2032.0,1846.0
17035,17061,2020,5904.0,5522.0
17036,17063,2020,24269.0,22138.0
17037,17065,2020,4225.0,3944.0
17038,17067,2020,8081.0,7521.0
17039,17069,2020,1289.0,1171.0
17040,17071,2020,3544.0,3298.0
17041,17073,2020,23925.0,22061.0
17042,17075,2020,13582.0,12738.0
17043,17077,2020,27251.0,25146.0
17044,17079,2020,4591.0,4315.0
17045,17081,2020,16993.0,15279.0
17046,17083,2020,10678.0,9883.0
17047,17085,2020,10426.0,9560.0
17048,17087,2020,4098.0,3732.0
17049,17089,2020,261649.0,237738.0
17050,17091,2020,53934.0,49164.0
17051,17093,2020,66386.0,60839.0
17052,17095,2020,21110.0,19285.0
17053,17097,2020,364544.0,335133.0
17054,17099,2020,52663.0,47699.0
17055,17101,2020,5781.0,5276.0
17056,17103,2020,17154.0,15982.0
17057,17105,2020,15909.0,14840.0
17058,17107,2020,12122.0,11305.0
17059,17109,2020,12819.0,11908.0
17060,17111,2020,158406.0,145249.0
17061,17113,2020,85103.0,79341.0
