id,fips,econ_year,unemp_rate,num_unemployed
308,8103,2020,5.4,160
309,8105,2020,7.1,385
310,8107,2020,7.9,1277
311,8109,2020,7,242
312,8111,2020,6.7,34
313,8113,2020,10.9,592
314,8115,2020,3.4,40
315,8117,2020,9.8,2198
316,8119,2020,7.5,968
317,8121,2020,3.1,91
318,8123,2020,7,11624
319,8125,2020,2.8,159
320,9000,2020,7.9,148010
321,9001,2020,7.9,37044
322,9003,2020,8.1,38682
323,9005,2020,6.9,7007
324,9007,2020,6.5,6010
325,9009,2020,8,36502
326,9011,2020,9.6,12679
327,9013,2020,6.2,5236
328,9015,2020,7.8,4849
329,10000,2020,7.8,37900
330,10001,2020,8.6,6872
331,10003,2020,7.7,23039
332,10005,2020,7.5,7990
333,11000,2020,8,32895
334,11001,2020,8,32895
335,12000,2020,7.7,781491
336,12001,2020,5.4,7235
337,12003,2020,4.9,580
338,12005,2020,6.1,5017
339,12007,2020,5.9,641
340,12009,2020,6.6,18724
341,12011,2020,8.8,90289
342,12013,2020,5.2,246
343,12015,2020,7.3,5214
344,12017,2020,8.4,3918
345,12019,2020,5.4,5654
346,12021,2020,6.9,12210
347,12023,2020,5.8,1726
348,12027,2020,5.2,741
349,12029,2020,5.5,321
350,12031,2020,6.7,32633
351,12033,2020,6.7,9671
352,12035,2020,7.6,3553
353,12037,2020,5.4,252
354,12039,2020,6.8,1245
355,12041,2020,4.9,345
356,12043,2020,5.6,289
357,12045,2020,5.9,298
358,12047,2020,7.6,319
359,12049,2020,6.5,551
360,12051,2020,8.1,1257
361,12053,2020,8.1,5769
362,12055,2020,7.7,2674
363,12057,2020,7.1,53788
364,12059,2020,5.5,378
365,12061,2020,7.4,4751
366,12063,2020,5.4,933
367,12065,2020,5.6,298
368,12067,2020,4.2,117
369,12069,2020,8.9,13645
370,12071,2020,7.3,25256
371,12073,2020,5.8,8743
372,12075,2020,6,1001
373,12077,2020,4.8,125
374,12079,2020,6,459
375,12081,2020,6.8,11925
376,12083,2020,7,9760
377,12085,2020,6.1,4384
378,12086,2020,8,103681
379,12087,2020,7.9,3532
380,12089,2020,5.7,2347
381,12091,2020,5.5,5281
382,12093,2020,5.4,921
383,12095,2020,10.6,78496
384,12097,2020,13.5,25155
385,12099,2020,7.6,54434
386,12101,2020,7.2,17142
387,12103,2020,7,34064
388,12105,2020,9,28647
389,12107,2020,7.9,2092
390,12109,2020,5.3,7071
391,12111,2020,7.8,11303
392,12113,2020,5.2,4299
393,12115,2020,6.8,12589
394,12117,2020,7.2,17167
395,12119,2020,7.9,2534
396,12121,2020,5.6,1000
