id,fips,econ_year,num_civ_labor_force,num_employed
17179,18143,2020,10484,9606
17180,18145,2020,23086,21443
17181,18147,2020,10333,9754
17182,18149,2020,9730,8947
17183,18151,2020,19915,18673
17184,18153,2020,7903,7352
17185,18155,2020,4782,4394
17186,18157,2020,94147,88211
17187,18159,2020,9019,8465
17188,18161,2020,3443,3254
17189,18163,2020,91573,85014
17190,18165,2020,6590,6094
17191,18167,2020,45814,42198
17192,18169,2020,14499,13615
17193,18171,2020,4001,3785
17194,18173,2020,31654,29930
17195,18175,2020,13465,12533
17196,18177,2020,29989,27951
17197,18179,2020,14006,13211
17198,18181,2020,13254,12586
17199,18183,2020,17155,16139
17200,19000,2020,1666420,1578765
17201,19001,2020,4179,4013
17202,19003,2020,2029,1952
17203,19005,2020,7034,6675
17204,19007,2020,5914,5601
17205,19009,2020,3011,2908
17206,19011,2020,12924,12272
17207,19013,2020,67318,63173
17208,19015,2020,14468,13880
17209,19017,2020,13500,12967
17210,19019,2020,11095,10588
17211,19021,2020,11643,11217
17212,19023,2020,7675,7317
17213,19025,2020,4096,3928
17214,19027,2020,10546,10129
17215,19029,2020,6752,6489
17216,19031,2020,10368,9915
17217,19033,2020,23096,21893
17218,19035,2020,6192,5958
17219,19037,2020,6271,5976
17220,19039,2020,4761,4504
17221,19041,2020,8336,7958
17222,19043,2020,9703,9150
17223,19045,2020,21989,20509
17224,19047,2020,7931,7515
17225,19049,2020,49406,47621
17226,19051,2020,4108,3943
17227,19053,2020,4266,4104
17228,19055,2020,10381,9969
17229,19057,2020,18609,17222
17230,19059,2020,9752,9255
17231,19061,2020,54877,51666
17232,19063,2020,5047,4797
17233,19065,2020,10299,9735
17234,19067,2020,8250,7751
17235,19069,2020,5597,5385
17236,19071,2020,3712,3597
17237,19073,2020,5333,5107
17238,19075,2020,6273,5999
17239,19077,2020,5409,5140
17240,19079,2020,6779,6480
17241,19081,2020,5764,5495
17242,19083,2020,7767,7407
17243,19085,2020,7060,6776
17244,19087,2020,9564,9060
17245,19089,2020,5070,4844
17246,19091,2020,4939,4730
17247,19093,2020,3966,3824
17248,19095,2020,10009,9565
17249,19097,2020,10622,9975
17250,19099,2020,19177,18157
17251,19101,2020,9487,8948
17252,19103,2020,84088,80056
17253,19105,2020,10253,9669
17254,19107,2020,5151,4897
17255,19109,2020,8087,7779
17256,19111,2020,15693,14666
17257,19113,2020,118853,111300
17258,19115,2020,5916,5623
17259,19117,2020,4644,4475
17260,19119,2020,6823,6652
17261,19121,2020,8347,7868
17262,19123,2020,11798,11237
17263,19125,2020,17933,17182
17264,19127,2020,17514,16278
17265,19129,2020,7150,6869
17266,19131,2020,6061,5856
17267,19133,2020,4347,4139
17268,19135,2020,3938,3734
17269,19137,2020,4847,4621
17270,19139,2020,21053,19796
17271,19141,2020,8058,7786
17272,19143,2020,3498,3397
17273,19145,2020,6186,5878
17274,19147,2020,4540,4330
17275,19149,2020,14284,13770
17276,19151,2020,4220,4072
17277,19153,2020,264807,248931
17278,19155,2020,47249,44771
17279,19157,2020,9727,9247
17280,19159,2020,2377,2285
